id,Window_size,Source_port,Destination_port,First_packet_size,forward_packets,forward_total_bytes,Min_forward_inter_arrival_time_difference,Max_forward_inter_arrival_time_difference,Mean_forward_inter_arrival_time_difference,STD_forward_inter_arrival_time_difference,Mean_forward_packets,STD_forward_packets,backward_packets,backward_total_bytes,Min_backward_inter_arrival_time_difference,Max_backward_inter_arrival_time_difference,Mean_backward_inter_arrival_time_difference,STD_backward_inter_arrival_time_difference,Mean_backward_packets,STD_backward_packets,Mean_backward_TTL_value,Total_packets,Minimum_packet_size,Maximum_packet_size,Mean_packet_size,class,Maximum_backward_packet,Maximum_forward_packet,Minimum_backward_packet,Minimum_forward_packet
0,8192,49157,443,223.0,24,1348,0.0020629999999073334,10.168155999999726,5.695160260869512,4.822770220297616,56.16666666666666,106.53950753906584,26,8466,3.899999865097925e-05,10937.748222,425.71945019230765,2144.046970062107,325.61538461538464,563.6371227605986,64.0,50,20,1440,196.28,normal,1440.0,504.0,20.0,20.0
1,8192,49157,443,246.0,15,1220,0.0021029999988968484,10.133654000001117,4.3622662142857465,5.072413674322745,81.33333333333333,149.8273609700114,19,6017,7.200000072771218e-05,9386.945734,497.26118468421066,2152.7404703809657,316.6842105263158,531.8336260974415,64.0,34,20,1440,212.85294117647058,normal,1440.0,571.0,20.0,20.0
2,8192,49157,80,117.0,5,209,0.002140000000011355,0.25596399999999164,0.07038550000000042,0.12393226339281133,41.8,42.357998064120075,5,353,0.00015199999999992997,105.647675,21.1837058,47.21691471330263,70.6,110.92249546417536,64.0,10,20,269,56.2,normal,269.0,117.0,20.0,20.0
3,8192,49158,443,223.0,11,592,0.0020289999993110537,5.186263000001418,0.8794371999998475,1.5819477090617873,53.81818181818182,67.5349067991038,14,7621,4.3000000005122274e-05,10939.04811,781.987191,2923.4035841355512,544.3571428571429,676.3009806909322,64.0,25,20,1440,328.52,normal,1440.0,223.0,20.0,20.0
4,8192,49158,443,537.0,140,6198,0.0010880000008910429,10.332580000000236,1.0313605179856122,3.0111030710793645,44.271428571428565,89.48669310321405,287,209742,0.0,9391.230951000001,33.2214882195122,554.3214444475756,730.8083623693379,672.242501355818,64.66550522648083,427,20,1440,505.71428571428567,normal,1440.0,537.0,20.0,20.0
5,8192,49160,80,20.0,4,92,0.008544000000256347,0.9107769999991432,0.3122316666667757,0.5183742656280974,23.0,6.0,3,64,0.014286999999967518,10939.090062000001,3646.672888333333,6315.4185434224755,21.33333333333333,2.309401076758503,64.0,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
6,8192,49160,80,305.0,88,4969,0.0010009999999738284,11.236945999999987,8.290884471264366,3.7173315730886345,56.46590909090909,94.483587197665,90,8151,0.001007999999956155,186.476234,10.086412744444443,19.2038374481478,90.56666666666666,189.22533086956574,64.0,178,20,597,73.70786516853933,normal,597.0,305.0,20.0,20.0
7,8192,49160,443,537.0,31,2593,0.0004380000009405194,10.200932999998258,4.568690066666688,4.932618430771245,83.64516129032258,137.1747178812716,38,12736,7.60000002628658e-05,9391.538727,250.75213726315792,1522.9152238630902,335.15789473684214,501.90025531706993,69.02631578947367,69,20,1440,222.15942028985503,normal,1440.0,537.0,20.0,20.0
8,8192,49161,443,214.0,13,803,0.002232999999250751,2.1478880000013305,0.6388263333333271,0.8602377258977745,61.769230769230774,73.22130137029096,15,5580,8.800000068731606e-05,10942.369773999999,729.9973522000001,2825.167870600577,372.0,579.89444852367,76.73333333333333,28,20,1440,227.9642857142857,normal,1440.0,214.0,20.0,20.0
9,8192,49161,443,537.0,62,3604,0.001441000000340864,10.197138999999881,2.342753360655747,4.196086527601989,58.12903225806453,110.82396081557184,135,106543,2.9000000722589906e-05,9391.707523000001,70.62653543703703,808.2234729319572,789.2074074074077,666.8845711875515,65.41481481481482,197,20,1440,559.1218274111675,normal,1440.0,537.0,20.0,20.0
